brand,model,engine,horse_pwr,trans,gas,drive,build_year,mileage_kms,price_rub,date
Volkswagen,Golf,1.6,102,MT,бензин,передний,2007,227281,619500,2024-01-03
Volkswagen,Golf,1.4,122,AMT,бензин,передний,2013,242000,1240000,2024-01-03
Volkswagen,Golf,1.6,115,AMT,дизель,передний,2018,240000,1599999,2024-01-03
Volkswagen,Golf,1.4,140,AMT,бензин,передний,2007,170000,780000,2024-01-03
Volkswagen,Golf,1.2,105,AMT,бензин,передний,2013,97977,1065000,2024-01-03
Volkswagen,Golf,1.8,90,MT,бензин,передний,1994,66800,140000,2024-01-03
Volkswagen,Golf,1.4,110,AMT,бензин,передний,2016,116000,1133000,2024-01-03
Volkswagen,Golf,1.2,105,AMT,бензин,передний,2013,130671,1129000,2024-01-03
Volkswagen,Golf,1.4,160,AMT,бензин,передний,2009,27000,1095000,2024-01-03
Volkswagen,Golf,2.0,150,AMT,дизель,передний,2015,71629,1845000,2024-01-03
Volkswagen,Golf,1.2,105,MT,бензин,передний,2013,177160,950000,2024-01-03
Volkswagen,Golf,1.8,90,MT,бензин,передний,1994,274000,30000,2024-01-03
Volkswagen,Golf,1.4,149,AT,бензин,передний,2019,73000,2000000,2024-01-03
Volkswagen,Golf,1.4,80,MT,бензин,передний,2010,198000,510000,2024-01-03
Volkswagen,Golf,1.6,102,MT,бензин,передний,2011,195000,949000,2024-01-03
Volkswagen,Golf,1.6,102,AMT,бензин,передний,2009,136339,889320,2024-01-03
Volkswagen,Golf,1.4,75,MT,бензин,передний,2000,400000,250000,2024-01-03
Volkswagen,Golf,1.4,122,AMT,бензин,передний,2011,308000,1080000,2024-01-03
Volkswagen,Golf,1.4,80,MT,бензин,передний,2012,230000,820000,2024-01-03
Volkswagen,Golf,1.4,122,AMT,бензин,передний,2012,88500,1515000,2024-01-03
Volkswagen,Golf,1.4,122,AMT,бензин,передний,2011,210000,800000,2024-01-03
Volkswagen,Golf,1.2,105,MT,бензин,передний,2013,264000,963000,2024-01-03
Volkswagen,Golf,1.2,105,AMT,бензин,передний,2014,190000,1350000,2024-01-03
Volkswagen,Golf,1.4,122,AMT,бензин,передний,2011,154150,920000,2024-01-03
Volkswagen,Golf,1.4,80,MT,бензин,передний,2012,169034,799175,2024-01-03
Volkswagen,Golf,1.2,105,AMT,бензин,передний,2013,133000,1070000,2024-01-03
Volkswagen,Golf,1.6,102,AMT,бензин,передний,2010,351000,850000,2024-01-03
Volkswagen,Golf,1.6,75,MT,бензин,передний,1990,300000,195000,2024-01-03
Volkswagen,Golf,1.4,122,AMT,бензин,передний,2010,79000,1169000,2024-01-03
Volkswagen,Golf,1.4,122,AMT,бензин,передний,2015,155495,1243000,2024-01-03
Volkswagen,Golf,1.6,102,MT,бензин,передний,2010,242462,710000,2024-01-03
Volkswagen,Golf,1.2,85,MT,бензин,передний,2011,219950,750000,2024-01-03
Volkswagen,Golf,1.2,105,MT,бензин,передний,2013,245000,1395000,2024-01-03
Volkswagen,Golf,1.6,110,MT,дизель,передний,2015,302000,1440000,2024-01-03
Volkswagen,Golf,1.6,102,AMT,бензин,передний,2010,182000,940000,2024-01-03
Volkswagen,Golf,1.4,122,AMT,бензин,передний,2012,183500,845000,2024-01-03
Volkswagen,Golf,1.4,75,MT,бензин,передний,1998,195500,445000,2024-01-03
Volkswagen,Golf,1.4,75,MT,бензин,передний,2004,307000,650000,2024-01-03
Volkswagen,Golf,1.4,110,AMT,бензин,передний,2017,68000,1345000,2024-01-03
Volkswagen,Golf,1.4,125,AMT,бензин,передний,2018,23000,1556000,2024-01-03
Volkswagen,Golf,1.4,125,AMT,бензин,передний,2018,49500,2500000,2024-01-03
Volkswagen,Golf,1.2,105,MT,бензин,передний,2013,291000,999999,2024-01-03
Volkswagen,Golf,1.4,122,AMT,бензин,передний,2013,118755,1535000,2024-01-03
Volkswagen,Golf,1.4,122,AMT,бензин,передний,2011,192700,1250000,2024-01-03
Volkswagen,Golf,1.2,105,AMT,бензин,передний,2013,204008,951228,2024-01-03
Volkswagen,Golf,1.8,90,MT,бензин,передний,1993,66922,500000,2024-01-03
Volkswagen,Golf,1.4,75,MT,бензин,передний,2002,196526,430000,2024-01-03
Volkswagen,Golf,1.4,122,AMT,бензин,передний,2010,158000,770000,2024-01-03
