brand,model,engine,horse_pwr,trans,gas,drive,build_year,mileage_kms,price_rub,date
Volkswagen,Golf,1.2,105,MT,бензин,передний,2013,264000,963000,2024-01-03
Volkswagen,Golf,1.2,105,AMT,бензин,передний,2014,190000,1350000,2024-01-03
Volkswagen,Golf,1.4,122,AMT,бензин,передний,2011,154150,920000,2024-01-03
Volkswagen,Golf,1.4,80,MT,бензин,передний,2012,169034,799175,2024-01-03
Volkswagen,Golf,1.2,105,AMT,бензин,передний,2013,164550,1250000,2024-01-03
Volkswagen,Golf,1.2,105,AMT,бензин,передний,2013,133000,1070000,2024-01-03
Volkswagen,Golf,1.4,122,AMT,бензин,передний,2011,141846,1149000,2024-01-03
Volkswagen,Golf,1.6,102,AMT,бензин,передний,2010,351000,850000,2024-01-03
Volkswagen,Golf,1.6,75,MT,бензин,передний,1990,300000,195000,2024-01-03
Volkswagen,Golf,1.4,122,AMT,бензин,передний,2011,247304,1050000,2024-01-03
Volkswagen,Golf,1.4,122,AMT,бензин,передний,2013,198321,1069000,2024-01-03
Volkswagen,Golf,1.2,85,MT,бензин,передний,2013,144285,1070000,2024-01-03
Volkswagen,Golf,1.4,122,AMT,бензин,передний,2010,79000,1169000,2024-01-03
Volkswagen,Golf,1.4,122,AMT,бензин,передний,2015,155495,1243000,2024-01-03
Volkswagen,Golf,1.6,102,MT,бензин,передний,2010,242462,710000,2024-01-03
Volkswagen,Golf,1.2,85,MT,бензин,передний,2011,219950,750000,2024-01-03
Volkswagen,Golf,1.2,105,MT,бензин,передний,2013,245000,1395000,2024-01-03
Volkswagen,Golf,1.6,110,MT,дизель,передний,2015,302000,1440000,2024-01-03
Volkswagen,Golf,"73914км,",,1.4,бензин,передний,2020,73914,1899000,2024-01-03
Volkswagen,Golf,1.6,102,AMT,бензин,передний,2010,182000,940000,2024-01-03
Volkswagen,Golf,1.4,122,AMT,бензин,передний,2012,183500,845000,2024-01-03
Volkswagen,Golf,1.4,75,MT,бензин,передний,1998,195500,445000,2024-01-03
Volkswagen,Golf,1.6,102,MT,бензин,передний,2009,147437,958450,2024-01-03
Volkswagen,Golf,1.4,110,AMT,бензин,передний,2017,68000,1345000,2024-01-03
Volkswagen,Golf,1.4,75,MT,бензин,передний,2004,307000,650000,2024-01-03
Volkswagen,Golf,1.4,125,AMT,бензин,передний,2018,23000,1556000,2024-01-03
Volkswagen,Golf,1.4,125,AMT,бензин,передний,2018,49500,2500000,2024-01-03
Volkswagen,Golf,1.2,105,MT,бензин,передний,2013,291000,999999,2024-01-03
Volkswagen,Golf,1.4,122,AMT,бензин,передний,2013,118755,1535000,2024-01-03
Volkswagen,Golf,1.2,105,AMT,бензин,передний,2013,136584,899000,2024-01-03
Volkswagen,Golf,1.4,75,MT,бензин,передний,1999,283000,500000,2024-01-03
Volkswagen,Golf,2.0,75,MT,дизель,передний,2005,399000,750000,2024-01-03
Volkswagen,Golf,1.4,122,AMT,бензин,передний,2011,192700,1250000,2024-01-03
Volkswagen,Golf,2.0,150,AMT,дизель,передний,2021,1252,3935000,2024-01-03
Volkswagen,Golf,1.2,105,AMT,бензин,передний,2013,204008,951228,2024-01-03
Volkswagen,Golf,1.8,90,MT,бензин,передний,1993,66922,500000,2024-01-03
Volkswagen,Golf,1.4,75,MT,бензин,передний,2002,196526,430000,2024-01-03
Volkswagen,Golf,1.4,122,AMT,бензин,передний,2010,158000,770000,2024-01-03
Volkswagen,Golf,1.2,105,MT,бензин,передний,2011,183000,969000,2024-01-03
Volkswagen,Golf,1.4,75,MT,бензин,передний,1999,234830,350000,2024-01-03
Volkswagen,Golf,1.4,80,MT,бензин,передний,2012,85000,1189000,2024-01-03
Volkswagen,Golf,1.6,75,MT,бензин,передний,1993,120000,130000,2024-01-03
Volkswagen,Golf,1.6,115,AMT,дизель,передний,2018,73000,2190000,2024-01-03
Volkswagen,Golf,1.2,105,MT,бензин,передний,2013,280000,825000,2024-01-03
Volkswagen,Golf,1.4,122,AMT,бензин,передний,2011,99000,1199000,2024-01-03
Volkswagen,Golf,1.4,122,AMT,бензин,передний,2011,223000,960000,2024-01-03
Volkswagen,Golf,1.4,122,AMT,бензин,передний,2013,135999,1339000,2024-01-03
Volkswagen,Golf,1.4,110,AMT,бензин,передний,2019,20700,2197000,2024-01-03
Volkswagen,Golf,1.4,122,MT,бензин,передний,2014,143000,1300000,2024-01-03
